Year,Month, Day,Hour, GlobHorizRad, DirNormRad,DiffHorizRad, TotalSkyCover, DryBulbTemp, DewPointTemp,RelHumidity,Pressure, WindDir, WindSpeed
6,1,1,0,0,0,0,10,19,-2,24,1012,54,3.9
6,1,1,1,0,0,0,0,16.7,-0.6,30,1012,60,4
6,1,1,2,0,0,0,0,15.9,-0.3,33,1012,60,4.2
6,1,1,3,0,0,0,10,15.5,0.2,35,1013,53,4.2
6,1,1,4,0,0,0,10,15.7,1.5,38,1013,55,4.4
6,1,1,5,0,0,0,10,15.5,2.8,42,1013,50,4.9
6,1,1,6,0,0,0,10,15.3,3.4,44,1012,52,4.6
6,1,1,7,14,5,10,10,15.5,3.7,45,1012,47,3.7
6,1,1,8,49,94,18,10,15.9,3.8,44,1012,41,3.3
6,1,1,9,353,550,86,0,18,3.4,37,1012,46,4.1
6,1,1,10,480,649,91,0,20,2.4,30,1012,47,3.8
6,1,1,11,552,693,94,0,21.3,1.7,27,1011,44,2.9
6,1,1,12,557,696,94,0,22.5,1.7,25,1011,21,1.2
6,1,1,13,496,659,92,0,23.8,2,23,1010,289,0.8
6,1,1,14,376,568,87,0,24.6,2.7,23,1010,263,1.4
6,1,1,15,220,408,75,0,24.2,3.5,25,1010,279,1.6
6,1,1,16,74,28,45,0,23.3,4.1,28,1010,281,2.1
6,1,1,17,0,0,0,0,20.8,4.3,33,1010,292,2.5
6,1,1,18,0,0,0,0,19.4,4.7,37,1010,315,2.6
6,1,1,19,0,0,0,0,18.3,4.9,41,1011,331,3
6,1,1,20,0,0,0,0,17.3,4.2,41,1012,337,3.4
6,1,1,21,0,0,0,0,16.4,3.1,40,1012,341,3.6
6,1,1,22,0,0,0,0,15.8,2.4,40,1012,346,4
6,1,1,23,0,0,0,0,15.3,2.7,42,1013,349,4.3
6,1,2,0,0,0,0,0,14.7,3.4,46,1013,351,4.5
6,1,2,1,0,0,0,0,14.2,3.7,49,1014,349,4.5
6,1,2,2,0,0,0,0,13.7,3.4,49,1014,345,4.7
6,1,2,3,0,0,0,0,12.9,2.2,48,1014,343,4.6
6,1,2,4,0,0,0,0,12.1,0.2,43,1015,341,4.7
6,1,2,5,0,0,0,0,11.6,-1.7,39,1015,339,4.8
6,1,2,6,0,0,0,0,10.2,-2.8,40,1015,341,4.2
6,1,2,7,56,18,38,0,10.3,-3.1,38,1015,340,3.5
6,1,2,8,194,374,72,0,14.4,-3.4,29,1015,342,3.8
6,1,2,9,353,550,86,0,16.6,-5.2,22,1015,340,3.9
6,1,2,10,481,648,91,0,18.1,-7.1,17,1014,333,3.1
6,1,2,11,553,694,94,0,19.1,-7.9,15,1013,321,2.1
6,1,2,12,558,698,94,0,20.3,-7.9,14,1013,297,1.7
6,1,2,13,497,660,92,0,21.2,-7.5,14,1012,280,2
6,1,2,14,378,570,87,0,21.5,-6.6,14,1011,276,2.7
6,1,2,15,222,411,75,0,21.5,-5.5,15,1011,282,3.5
6,1,2,16,75,29,46,0,20.6,-1.1,23,1011,288,3.9
6,1,2,17,0,0,0,0,17.1,0.1,31,1011,296,3.6
6,1,2,18,0,0,0,0,15.5,0.8,36,1011,307,3.5
6,1,2,19,0,0,0,0,14.3,0.7,39,1011,320,3.6
6,1,2,20,0,0,0,0,13.3,-0.3,39,1011,326,3.8
6,1,2,21,0,0,0,0,12.4,-2.1,36,1012,328,3.9
6,1,2,22,0,0,0,0,11.4,-5.3,30,1012,340,4
6,1,2,23,0,0,0,0,10.4,-10.1,22,1012,348,3.8
6,1,3,0,0,0,0,0,9.7,-14.4,17,1013,344,3.6
6,1,3,1,0,0,0,0,9.5,-16.4,14,1013,347,3.2
6,1,3,2,0,0,0,0,9.3,-15.7,15,1014,353,3.1
6,1,3,3,0,0,0,0,8.7,-14.7,17,1015,355,3.3
6,1,3,4,0,0,0,0,8.5,-13.9,19,1016,358,2.5
6,1,3,5,0,0,0,0,8.5,-13.6,19,1016,1,1.9
6,1,3,6,0,0,0,0,7.3,-13.6,21,1017,9,2.2
6,1,3,7,56,18,38,0,6.4,-13.5,22,1017,34,2
6,1,3,8,194,371,72,0,10.9,-13.1,17,1016,34,2.1
6,1,3,9,353,550,86,0,15,-13.6,12,1016,40,3.1
6,1,3,10,481,649,91,0,17.4,-13.1,11,1015,51,3
6,1,3,11,554,695,94,0,19.5,-12.1,10,1015,68,2.9
6,1,3,12,560,698,94,0,20.8,-11.3,10,1014,68,2.7
6,1,3,13,499,660,92,0,21.7,-11.7,9,1013,64,2.3
6,1,3,14,380,572,87,0,22,-12.2,9,1013,57,2.2
6,1,3,15,225,411,75,0,21.9,-12.9,8,1013,54,2.4
6,1,3,16,76,170,46,0,20.8,-13.5,9,1013,65,2.5
6,1,3,17,0,0,0,0,17.1,-13.6,11,1014,87,2.7
6,1,3,18,0,0,0,0,15.2,-13.3,13,1014,89,3
6,1,3,19,0,0,0,0,13.4,-13.6,14,1015,80,3
6,1,3,20,0,0,0,0,12.3,-13.7,15,1015,69,3.3
6,1,3,21,0,0,0,0,11.4,-13.5,16,1015,58,3.3
6,1,3,22,0,0,0,0,10.4,-13.1,18,1015,44,3.5
6,1,3,23,0,0,0,0,10.3,-12.4,19,1015,33,2.9
6,1,4,0,0,0,0,0,10,-12.1,20,1015,25,2.7
6,1,4,1,0,0,0,0,9.3,-12.3,20,1016,23,2.7
6,1,4,2,0,0,0,0,8,-12.9,21,1016,18,3.4
6,1,4,3,0,0,0,0,6.7,-13.9,21,1016,15,3.4
6,1,4,4,0,0,0,0,5.7,-14.6,21,1016,14,3
6,1,4,5,0,0,0,0,4.8,-15.1,22,1016,18,3.4
6,1,4,6,0,0,0,0,4,-15,23,1017,20,3.8
6,1,4,7,55,18,37,0,5.6,-14.7,21,1017,21,3.8
6,1,4,8,194,371,72,0,11.4,-13.9,15,1017,25,3.6
6,1,4,9,353,550,86,0,15.4,-11.7,14,1016,34,4.3
6,1,4,10,482,649,91,0,18.2,-7.2,17,1016,36,5.5
6,1,4,11,555,695,94,0,20.1,-3.7,19,1016,44,6.4
6,1,4,12,562,699,94,0,21.6,-2.9,19,1015,45,6.5
6,1,4,13,501,661,92,0,22.3,-2.9,18,1015,41,6.1
6,1,4,14,383,573,87,0,22.4,-3.2,17,1015,37,5.8
6,1,4,15,227,414,75,0,22.3,-3,18,1015,42,5.5
6,1,4,16,78,173,47,0,21.4,-4.1,17,1015,49,5
6,1,4,17,0,0,0,0,17.2,-3.8,23,1015,58,3.8
6,1,4,18,0,0,0,0,15.4,-3.3,27,1016,58,4.1
6,1,4,19,0,0,0,0,14.2,-2.7,31,1016,58,3.9
